WD,JD,new
33.07749661,122.4864241,"122.4864241,33.07749661"
33.09377034,122.4783044,"122.4783044,33.09377034"
33.11004407,122.47012790000001,"122.47012790000001,33.11004407"
33.1263178,122.46189609999999,"122.46189609999999,33.1263178"
33.14259153,122.45361070000001,"122.45361070000001,33.14259153"
33.15886525,122.4452733,"122.4452733,33.15886525"
33.17513898,122.4368858,"122.4368858,33.17513898"
33.19141271,122.4284504,"122.4284504,33.19141271"
33.20768644,122.419969,"122.419969,33.20768644"
33.22396017,122.41144409999998,"122.41144409999998,33.22396017"
33.2402339,122.4028781,"122.4028781,33.2402339"
33.25650763,122.3942736,"122.3942736,33.25650763"
33.27278136,122.38563329999998,"122.38563329999998,33.27278136"
33.28905508,122.3769601,"122.3769601,33.28905508"
33.30532881,122.3682571,"122.3682571,33.30532881"
33.32160254,122.35952759999998,"122.35952759999998,33.32160254"
33.33787627,122.3507749,"122.3507749,33.33787627"
33.35415,122.34200259999999,"122.34200259999999,33.35415"
33.37042373,122.33321459999999,"122.33321459999999,33.37042373"
33.38669746,122.3244148,"122.3244148,33.38669746"
33.40297119,122.31560729999998,"122.31560729999998,33.40297119"
33.41924492,122.3067965,"122.3067965,33.41924492"
33.43551864,122.2979869,"122.2979869,33.43551864"
33.45179237,122.28918329999999,"122.28918329999999,33.45179237"
33.4680661,122.2803908,"122.2803908,33.4680661"
33.48433983,122.2716144,"122.2716144,33.48433983"
33.50061356,122.2628597,"122.2628597,33.50061356"
33.51688729,122.25413219999999,"122.25413219999999,33.51688729"
33.53316102,122.2454379,"122.2454379,33.53316102"
33.54943475,122.23678290000001,"122.23678290000001,33.54943475"
33.56570847,122.2281736,"122.2281736,33.56570847"
33.581982200000006,122.21961670000002,"122.21961670000002,33.581982200000006"
33.59825593,122.2111189,"122.2111189,33.59825593"
33.61452966,122.20268759999999,"122.20268759999999,33.61452966"
33.63080339,122.1943301,"122.1943301,33.63080339"
33.64707712,122.18605420000002,"122.18605420000002,33.64707712"
33.66335085,122.1778678,"122.1778678,33.66335085"
33.67962458,122.1697794,"122.1697794,33.67962458"
33.69589831,122.16179740000001,"122.16179740000001,33.69589831"
33.71217203,122.1539307,"122.1539307,33.71217203"
33.72844576,122.14618870000001,"122.14618870000001,33.72844576"
33.74471949,122.13858090000001,"122.13858090000001,33.74471949"
33.76099322,122.13111699999999,"122.13111699999999,33.76099322"
33.77726695,122.1238074,"122.1238074,33.77726695"
33.79354068,122.1166625,"122.1166625,33.79354068"
33.80981441,122.10969320000001,"122.10969320000001,33.80981441"
